suite,condition,method,trials,success_rate,mean_total_cost,median_total_cost,p25_total_cost,p75_total_cost,mean_invalid_executions,mean_edge_checks,mean_expansions,mean_probes,mean_attempts,mean_active_family_count
label_quality,coarse_pairs,acs_labels_path_fallback,160,1.0,33.276267799999985,29.3295975,25.02354675,36.472386,0.0,9.0,94.61875,8.0,1.0,2.79375
label_quality,coarse_pairs,acs_with_planner_labels,160,1.0,31.656267799999988,27.7095975,23.40354675,34.852386,0.0,0.0,94.61875,8.0,1.0,2.79375
label_quality,coarse_pairs,edge_verifier,160,1.0,115.63870295625001,118.8937605,106.93866924999999,125.6926485,0.0,534.53125,116.6125,0.0,1.0,2.79375
label_quality,coarse_pairs,oracle_signature,160,1.0,19.423077956250008,18.0603525,16.89940925,20.72225675,0.0,0.0,116.6125,0.0,1.0,2.79375
label_quality,exact_labels,acs_labels_path_fallback,160,1.0,25.883618087499997,24.197705,22.60218025,27.14412,0.0,9.0,115.76875,8.0,1.0,2.99375
label_quality,exact_labels,acs_with_planner_labels,160,1.0,24.263618087500003,22.577705,20.98218025,25.52412,0.0,0.0,115.76875,8.0,1.0,2.99375
label_quality,exact_labels,edge_verifier,160,1.0,115.0723680875,118.102277,108.81716975,124.53549925,0.0,528.9375,115.76875,0.0,1.0,2.99375
label_quality,exact_labels,oracle_signature,160,1.0,19.863618087499997,18.177705,16.58218025,21.124119999999998,0.0,0.0,115.76875,0.0,1.0,2.99375
label_quality,extra_10,acs_labels_path_fallback,160,0.99375,26.664334468750003,24.206436,22.572875749999998,26.99203225,0.0,8.94375,115.7625,8.0,1.0,2.73125
label_quality,extra_10,acs_with_planner_labels,160,0.99375,25.054459468749993,22.586436,20.95287575,25.372032249999997,0.0,0.0,115.7625,8.0,1.0,2.73125
label_quality,extra_10,edge_verifier,160,1.0,116.91451669999996,118.32888,111.83560125,125.4327015,0.0,544.03125,118.38125,0.0,1.0,2.73125
label_quality,extra_10,oracle_signature,160,1.0,18.9888917,17.8296675,16.550133250000002,20.7102455,0.0,0.0,118.38125,0.0,1.0,2.73125
label_quality,extra_20,acs_labels_path_fallback,160,0.98125,29.76299810000001,24.094412,22.7282735,26.75554725,0.0,8.83125,108.8625,8.0,1.0,2.7625
label_quality,extra_20,acs_with_planner_labels,160,0.98125,28.173373099999985,22.474412,21.1082735,25.135547250000002,0.0,0.0,108.8625,8.0,1.0,2.7625
label_quality,extra_20,edge_verifier,160,1.0,114.42081238125004,117.6689985,105.66528425,124.88142225000001,0.0,532.125,115.29375,0.0,1.0,2.7625
label_quality,extra_20,oracle_signature,160,1.0,18.63831238125,17.7447695,16.57077975,19.544974,0.0,0.0,115.29375,0.0,1.0,2.7625
label_quality,missing_10,acs_labels_path_fallback,160,1.0,28.37512226875001,26.3171155,22.78162875,30.446233499999998,0.0,12.325,197.4875,8.0,1.7,2.83125
label_quality,missing_10,acs_with_planner_labels,160,0.58125,135.272268075,25.5018795,21.16162875,289.736633,0.41875,0.0,118.875,8.0,1.0,2.83125
label_quality,missing_10,edge_verifier,160,1.0,115.57580976875002,118.25476599999999,109.551785,124.343579,0.0,534.71875,116.48125,0.0,1.0,2.83125
label_quality,missing_10,oracle_signature,160,1.0,19.32643476875,17.5908085,16.42661925,20.920094250000002,0.0,0.0,116.48125,0.0,1.0,2.83125
label_quality,missing_20,acs_labels_path_fallback,160,1.0,33.41124558124999,29.185006,22.77731725,38.001351,0.0,17.54375,339.51875,8.0,2.86875,2.90625
label_quality,missing_20,acs_with_planner_labels,160,0.4125,179.58690529999998,288.042425,21.15731725,289.929378,0.5875,0.0,119.89375,8.0,1.0,2.90625
label_quality,missing_20,edge_verifier,160,1.0,114.55118308124997,116.811571,108.91687575,123.005545,0.0,530.25,114.6125,0.0,1.0,2.90625
label_quality,missing_20,oracle_signature,160,1.0,19.10618308125,17.7168545,16.314761999999998,20.220301250000002,0.0,0.0,114.6125,0.0,1.0,2.90625
label_quality,sparse_coverage_30,acs_labels_path_fallback,160,1.0,42.508015543749984,34.94782,26.0074655,50.58733575,0.0,27.35,576.86875,8.0,4.78125,2.8375
label_quality,sparse_coverage_30,acs_with_planner_labels,160,0.2375,226.1264585625,288.81250850000004,286.16409899999996,290.59471974999997,0.7625,0.0,124.15625,8.0,1.0,2.8375
label_quality,sparse_coverage_30,edge_verifier,160,1.0,116.46295304375003,118.549935,111.02011275,125.22960074999999,0.0,539.15625,117.8625,0.0,1.0,2.8375
label_quality,sparse_coverage_30,oracle_signature,160,1.0,19.41482804375,18.047984999999997,16.560996749999997,21.319988,0.0,0.0,117.8625,0.0,1.0,2.8375
label_quality,swap_10,acs_labels_path_fallback,160,1.0,26.993212018750008,25.187955,22.40693525,29.88922825,0.0,10.6,153.49375,8.0,1.35625,2.85
label_quality,swap_10,acs_with_planner_labels,160,0.7125,100.40084169999997,23.567955,20.78693525,288.14092700000003,0.2875,0.0,113.15,8.0,1.0,2.85
label_quality,swap_10,edge_verifier,160,1.0,112.64020833124998,115.327833,105.0376225,123.72432624999999,0.0,519.875,112.3,0.0,1.0,2.85
label_quality,swap_10,oracle_signature,160,1.0,19.06270833125,17.4488225,16.195987000000002,20.713881750000002,0.0,0.0,112.3,0.0,1.0,2.85
